Index,trx,ns,nh,nd,nc,ss,sh,sd,sc,es,eh,ed,ec,ws,wh,wd,wc
0,3,K3,AT9843,954,53,JT8752,Q6,63,A62,Q94,J7,AQT7,T874,A6,K52,KJ82,KQJ9
1,6,AQ9,AJ84,JT4,753,KJT6,732,K87,Q62,753,965,6532,AJ8,842,KQT,AQ9,KT94
2,6,32,742,KQ642,JT7,T876,J863,AT93,A,AK94,KQ9,-,Q98653,QJ5,AT5,J875,K42
3,4,K62,AT73,K8,KJ93,43,J54,AT7653,86,98,KQ98,Q2,AQ542,AQJT75,62,J94,T7
4,2,AT7,T5,JT8764,87,J9854,87,K92,Q92,KQ3,AK96,Q5,KT54,62,QJ432,A3,AJ63
5,3,763,QJT76,K9,Q94,KQ,8543,AT8532,3,J4,A9,Q764,AJT62,AT9852,K2,J,K875
6,3,K742,QT5,642,KQ9,93,K96432,83,A53,J65,AJ7,KQ7,J842,AQT8,8,AJT95,T76
7,6,KT98,AKT7,Q,AK84,QJ4,Q9862,97,QT6,752,J5,AK83,J732,A63,43,JT6542,95
8,8,AK,QJ984,JT3,A32,T2,KT532,K865,K7,QJ76543,76,92,Q8,98,A,AQ74,JT9654
9,4,QT8642,53,A2,987,K7,T762,K9876,A2,A53,QJ98,QT4,Q54,J9,AK4,J53,KJT63
10,5,J742,KJ8,95,J985,AQ63,97,T76,AT72,K85,QT54,Q82,Q63,T9,A632,AKJ43,K4
11,8,8762,T762,Q63,Q8,94,A8,AKT987,AT6,A3,KJ,5,KJ975432,KQJT5,Q9543,J42,-
12,7,A3,AQ932,QJT8,KJ,JT965,J5,43,A653,Q82,864,A92,9872,K74,KT7,K765,QT4
13,9,KQT987,8,7,J9872,A43,AKT654,A,KQ6,J65,QJ73,T653,T4,2,92,KQJ9842,A53
14,6,QJ9,JT9,A9852,Q2,854,A854,T3,KT54,KT3,72,K4,J98763,A762,KQ63,QJ76,A
15,4,AKQ5,AT6,96,T953,T87,8543,T43,J72,J964,KQ72,AJ82,8,32,J9,KQ75,AKQ64
16,12,5,Q875,74,AJT764,AQ,K632,AKJ85,Q9,T762,JT,T962,K52,KJ9843,A94,Q3,83
17,7,AT,42,AQJT65,AK7,K932,QT,842,JT53,54,KJ9875,K73,Q2,QJ876,A63,9,9864
18,1,AKQJT654,93,Q6,J,97,KT8652,74,Q54,2,A74,AKJ92,AK92,83,QJ,T853,T8763
19,2,42,942,JT7543,73,AT875,K3,86,QJT8,K3,QJT5,AKQ2,952,QJ96,A876,9,AK64
20,5,KJ9,JT64,875,Q43,Q62,Q953,KT,AK96,T875,K7,AJ9,T852,A43,A82,Q6432,J7
21,8,KJ4,Q,AK742,AT65,T72,K7654,963,KJ,A953,AJ983,T8,Q9,Q86,T2,QJ5,87432
22,6,92,AQ8752,QT,AQ7,64,K943,K4,KT543,AQJ873,J6,85,962,KT5,T,AJ97632,J8
23,7,KJ953,Q7,4,AQJ87,AQ8,-,AQJT8762,T3,764,AJ9543,5,654,T2,KT862,K93,K92
24,4,KQT865,Q,Q952,32,J72,J53,A3,KJ974,943,KT8,KJ87,QT5,A,A97642,T64,A86
25,3,A654,65,Q5,A7432,QT73,T4,94,KQT65,KJ9,AQ732,KJ832,-,82,KJ98,AT76,J98
26,5,5,Q742,T63,K9842,AQT763,865,A2,A6,42,AT,J9754,QT73,KJ98,KJ93,KQ8,J5
27,9,43,2,KQJ864,QJ98,AKJT,KJ9653,AT,4,875,AT84,9753,65,Q962,Q7,2,AKT732
28,11,AQJ9543,J7,A,QT5,KT,AKQT4,JT964,9,62,953,873,KJ743,87,862,KQ52,A862
29,7,AKJ3,AQJ7,AK8,J7,Q874,986,JT92,53,T5,K5432,654,T86,962,T,Q73,AKQ942
30,10,K2,AQT7,AK754,72,Q,K963,Q862,Q865,AT764,5,J93,AKJ9,J9853,J842,T,T43
31,7,A653,54,A73,KJ94,K72,KJT2,J62,872,QJ94,A7,KT9854,Q,T8,Q9863,Q,AT653
32,9,T854,A85,A97,A92,A7632,KJT,5,QT73,KQJ9,632,K3,KJ54,-,Q974,QJT8642,86
33,7,QT,KJ,KJ76432,97,AK543,T62,85,KJ5,962,AQ854,A9,AQ6,J87,973,QT,T8432
34,1,T976,-,K83,KT9543,QJ532,K73,T5,876,A84,AQ8542,AQJ7,-,K,JT96,9642,AQJ2
35,5,74,A94,Q95,A8532,QT52,J75,J2,JT74,AKJ86,KQ3,AK6,K6,93,T862,T8743,Q9
36,3,J862,QT5,6,AT954,KQT953,876,T2,KQ,7,AKJ94,KQ43,762,A4,32,AJ9875,J83
37,3,J4,9764,T654,AT9,KT863,K832,Q,J84,Q75,QT5,AJ972,Q7,A92,AJ,K83,K6532
38,5,KJT6,KJ542,A75,8,A85,T83,KT864,32,Q93,976,QJ9,KQ76,742,AQ,32,AJT954
39,6,K876,Q762,KT5,43,92,KJ84,AQ74,KJ8,QJ3,A53,963,AT75,AT54,T9,J82,Q962
40,1,843,86,Q984,T763,J75,QT942,72,Q82,A6,A53,AKJ65,A54,KQT92,KJ7,T3,KJ9
41,3,T862,QJ86,T983,6,AQ9,KT54,KJ4,T72,KJ7,A32,Q652,AQ3,543,97,A7,KJ9854
42,11,QJ8653,T9,J3,AJ2,T2,AJ763,AKQ,KT3,AK7,2,9876,Q9865,94,KQ854,T542,74
43,10,AT876,2,964,K832,QJ,QJ3,AQJ3,AQ96,K532,AKT9,K2,T74,94,87654,T875,J5
44,8,KQ976,KQJ9,T,AK3,A5432,52,J92,QT6,JT8,3,K6543,J872,-,AT8764,AQ87,954
45,3,JT76,KJT93,KQ96,-,2,AQ874,AJ42,763,A543,52,5,JT9542,KQ98,6,T873,AKQ8
46,5,J83,Q432,A4,J732,KQ7,JT,987632,KT,A96,K9876,KQJ,Q8,T542,A5,T5,A9654
47,5,K52,84,842,KQJ94,J94,QT32,KJ9,762,AT63,K9765,53,85,Q87,AJ,AQT76,AT3
48,7,Q5,AJ,AJ743,KT97,K987632,Q642,K,J,AT4,98,QT965,832,J,KT753,82,AQ654
49,10,JT53,KJ963,-,AKQ2,Q9,AQ84,A82,JT43,AK8764,5,QT76,76,2,T72,KJ9543,985
50,6,9652,952,QJ862,5,A8,K864,AT753,87,Q,AQJT73,94,AQJ2,KJT743,-,K,KT9643
51,8,KT,AQ93,KJT9,K52,Q987,T62,Q4,J974,A54,K75,A8752,Q6,J632,J84,63,AT83
52,2,J94,T76,KJ76,842,Q3,KQ95,9854,K75,752,AJ832,3,AJT9,AKT86,4,AQT2,Q63
53,7,98752,83,762,QT9,J,AQ942,AQJT4,AK,KQ4,KJ65,K8,8632,AT63,T7,953,J754
54,5,3,KQT874,K54,T96,QJ974,9,AQ872,52,KT62,J62,T93,AJ7,A85,A53,J6,KQ843
55,4,J62,QJ3,QJ952,98,87,AT94,AK843,JT,AKT9,K2,T76,AK43,Q543,8765,-,Q7652
56,9,AK4,642,6432,J75,J7,A8,AK9875,QT9,QT96,KT973,QT,A3,8532,QJ5,J,K8642
57,3,T97,9754,654,952,A6532,T6,98,AK63,J84,K2,QT73,QJT8,KQ,AQJ83,AKJ2,74
58,9,Q6,KJ984,T63,A95,A98,T,KQ942,KQT4,T7,762,A87,J8763,KJ5432,AQ53,J5,2
59,5,KJ42,J8,Q76,AKJT,98,KT75,T32,Q932,AT76,Q32,54,7654,Q53,A964,AKJ98,8
60,6,AJ97542,-,K98,A93,K86,865,T75,KQ64,QT,A972,AJ4,J852,3,KQJT43,Q632,T7
